video_filename,matched_music_filename,match_rank,video_score,music_score,score_difference
ACCEDE09591.mp4,14691.mp3,3,0.7913043478260869,0.7692307692456538,0.02207357858043313
ACCEDE09587.mp4,14763.mp3,1,0.4840579710144927,0.4761904761904761,0.007867494824016608
ACCEDE09587.mp4,14616.mp3,2,0.4840579710144927,0.4761904761904761,0.007867494824016608
ACCEDE09587.mp4,14748.mp3,3,0.4840579710144927,0.4761904761904761,0.007867494824016608
ACCEDE09593.mp4,14760.mp3,1,0.6869565217391305,0.6666666666666666,0.020289855072463836
ACCEDE09593.mp4,14399.mp3,2,0.6869565217391305,0.7142857142857143,0.027329192546583836
ACCEDE09593.mp4,15026.mp3,3,0.6869565217391305,0.7142857142857143,0.027329192546583836
ACCEDE09578.mp4,14538.mp3,1,0.3710144927536232,0.3846153846034769,0.013600891849853691
ACCEDE09578.mp4,14698.mp3,2,0.3710144927536232,0.3846153846034769,0.013600891849853691
ACCEDE09578.mp4,14537.mp3,3,0.3710144927536232,0.3846153846034769,0.013600891849853691
ACCEDE09544.mp4,14399.mp3,1,0.727536231884058,0.7142857142857143,0.013250517598343725
ACCEDE09544.mp4,15026.mp3,2,0.727536231884058,0.7142857142857143,0.013250517598343725
ACCEDE09544.mp4,15027.mp3,3,0.727536231884058,0.7142857142857143,0.013250517598343725
ACCEDE09550.mp4,14762.mp3,1,0.3565217391304348,0.3571428571428571,0.000621118012422317
ACCEDE09550.mp4,14761.mp3,2,0.3565217391304348,0.3571428571428571,0.000621118012422317
ACCEDE09550.mp4,14991.mp3,3,0.3565217391304348,0.3571428571428571,0.000621118012422317
ACCEDE09236.mp4,14978.mp3,1,0.5449275362318841,0.5555555555555556,0.010628019323671523
ACCEDE09236.mp4,14979.mp3,2,0.5449275362318841,0.5555555555555556,0.010628019323671523
ACCEDE09236.mp4,14984.mp3,3,0.5449275362318841,0.5555555555555556,0.010628019323671523
ACCEDE09785.mp4,14695.mp3,1,0.7739130434782608,0.7692307692456538,0.004682274232607031
